first_name,last_name,email,signup_date,customer_id
Daniel,Nair,daniel.nair04@outlook.com,08-09-2024,C1001
Siddharth,Verma,siddharth.verma95@gmail.com,13-07-2025,C1002
Vivaan,Perez,vivaan.perez55@gmail.com,01-02-2024,C1003
Vivaan,Desai,vivaan.desai30@gmail.com,29-07-2025,C1004
Neha,Robinson,neha.robinson84@hotmail.com,14-08-2024,C1005
Logan,Perez,logan.perez36@gmail.com,13-06-2024,C1006
Michael,Garcia,michael.garcia44@outlook.com,09-06-2024,C1007
Vikram,Allen,vikram.allen44@gmail.com,05-04-2024,C1008
Ethan,Iyer,ethan.iyer46@outlook.com,11-09-2025,C1009
Deepa,Sharma,deepa.sharma94@hotmail.com,04-07-2025,C1010
Rohit,Jones,rohit.jones11@outlook.com,06-10-2025,C1011
Evelyn,Williams,evelyn.williams74@yahoo.com,13-03-2024,C1012
Ananya,Clark,ananya.clark30@outlook.com,23-03-2024,C1013
Siddharth,Iyer,siddharth.iyer49@outlook.com,10-04-2025,C1014
Daniel,Williams,daniel.williams21@outlook.com,30-12-2024,C1015
Vikram,Clark,vikram.clark35@gmail.com,16-09-2025,C1016
Daniel,Gupta,daniel.gupta69@yahoo.com,17-06-2024,C1017
Isabella,Jones,isabella.jones35@yahoo.com,29-11-2024,C1018
Luna,King,luna.king08@yahoo.com,03-02-2024,C1019
Liam,Miller,liam.miller35@gmail.com,05-08-2024,C1020
Henry,Robinson,henry.robinson41@yahoo.com,27-05-2025,C1021
Ava,Sanchez,ava.sanchez59@yahoo.com,29-09-2024,C1022
Sneha,Fernandes,sneha.fernandes96@outlook.com,22-08-2025,C1023
Sophia,Perez,sophia.perez52@outlook.com,13-08-2024,C1024
Sneha,Thomas,sneha.thomas64@gmail.com,19-02-2024,C1025
Rohit,Mehta,rohit.mehta81@yahoo.com,09-03-2025,C1026
Alexander,Singh,alexander.singh50@hotmail.com,03-09-2025,C1027
Isabella,Moore,isabella.moore33@gmail.com,28-04-2024,C1028
Emily,Jackson,emily.jackson97@outlook.com,15-12-2024,C1029
Rohit,Saxena,rohit.saxena56@yahoo.com,10-04-2025,C1030
Aarav,Walker,aarav.walker93@outlook.com,28-05-2025,C1031
Jacob,Chaudhary,jacob.chaudhary65@gmail.com,03-10-2025,C1032
Aditi,Harris,aditi.harris65@yahoo.com,06-06-2024,C1033
Emma,Allen,emma.allen21@gmail.com,06-09-2025,C1034
Liam,Taylor,liam.taylor03@gmail.com,07-01-2025,C1035
Aditi,Fernandes,aditi.fernandes08@yahoo.com,04-08-2025,C1036
Vivaan,Gowda,vivaan.gowda94@hotmail.com,12-03-2024,C1037
Jacob,Jackson,jacob.jackson99@yahoo.com,12-05-2024,C1038
Jack,Anderson,jack.anderson71@yahoo.com,29-09-2024,C1039
Charlotte,Thompson,charlotte.thompson55@yahoo.com,07-07-2025,C1040
Jacob,Walker,jacob.walker89@yahoo.com,16-11-2024,C1041
Ava,Clark,ava.clark84@outlook.com,25-03-2025,C1042
Charlotte,Rodriguez,charlotte.rodriguez16@yahoo.com,19-08-2024,C1043
Ishaan,Johnson,ishaan.johnson03@yahoo.com,26-08-2025,C1044
Siddharth,Reddy,siddharth.reddy10@gmail.com,23-08-2024,C1045
Ishaan,Sharma,ishaan.sharma43@gmail.com,11-06-2025,C1046
Manish,Chatterjee,manish.chatterjee86@hotmail.com,08-08-2024,C1047
James,Verma,james.verma93@hotmail.com,06-09-2024,C1048
Lucas,Davis,lucas.davis25@gmail.com,10-04-2024,C1049
Jack,Garcia,jack.garcia46@hotmail.com,25-02-2025,C1050
Isabella,Walker,isabella.walker07@gmail.com,04-03-2024,C1051
Ava,Walker,ava.walker44@gmail.com,12-09-2024,C1052
Neha,Rao,neha.rao69@hotmail.com,24-05-2024,C1053
Sophia,Chaudhary,sophia.chaudhary36@hotmail.com,13-09-2024,C1054
Ishaan,Rodriguez,ishaan.rodriguez71@gmail.com,22-02-2024,C1055
Abigail,Jackson,abigail.jackson02@gmail.com,31-08-2024,C1056
Riya,Davis,riya.davis63@hotmail.com,07-08-2024,C1057
Ava,Patel,ava.patel22@hotmail.com,04-01-2024,C1058
Ethan,Dutta,ethan.dutta59@outlook.com,10-03-2025,C1059
Michael,Walker,michael.walker72@hotmail.com,08-06-2024,C1060
Neha,Saxena,neha.saxena28@gmail.com,17-08-2025,C1061
Zoe,Jackson,zoe.jackson08@outlook.com,29-02-2024,C1062
Saanvi,Perez,saanvi.perez62@yahoo.com,29-02-2024,C1063
Benjamin,Gowda,benjamin.gowda24@gmail.com,02-09-2025,C1064
Ishaan,Ramirez,ishaan.ramirez31@hotmail.com,03-05-2024,C1065
Henry,Fernandes,henry.fernandes75@gmail.com,27-09-2025,C1066
Vivaan,Davis,vivaan.davis85@outlook.com,25-09-2024,C1067
Vikram,Clark,vikram.clark31@outlook.com,10-02-2025,C1068
Sneha,Clark,sneha.clark83@outlook.com,14-04-2025,C1069
Liam,Allen,liam.allen10@gmail.com,15-04-2025,C1070
Evelyn,Lee,evelyn.lee13@gmail.com,05-07-2025,C1071
Vikram,Thomas,vikram.thomas34@yahoo.com,24-12-2024,C1072
Ishaan,Fernandes,ishaan.fernandes48@outlook.com,11-06-2024,C1073
Logan,Jackson,logan.jackson91@outlook.com,19-09-2025,C1074
Abigail,Moore,abigail.moore02@outlook.com,17-04-2024,C1075
Sneha,Dutta,sneha.dutta15@gmail.com,21-07-2025,C1076
Kavya,Chatterjee,kavya.chatterjee37@yahoo.com,18-12-2024,C1077
Vikram,Ramirez,vikram.ramirez82@outlook.com,02-06-2025,C1078
Mia,Dutta,mia.dutta07@gmail.com,12-10-2025,C1079
Sophia,Chatterjee,sophia.chatterjee06@gmail.com,08-12-2024,C1080
Luna,Verma,luna.verma82@outlook.com,15-06-2024,C1081
Zoe,Rodriguez,zoe.rodriguez71@hotmail.com,29-07-2025,C1082
Aarav,Nair,aarav.nair10@yahoo.com,13-07-2025,C1083
Ananya,Williams,ananya.williams75@yahoo.com,17-03-2025,C1084
Sneha,Sharma,sneha.sharma40@outlook.com,11-02-2024,C1085
Noah,Desai,noah.desai88@yahoo.com,16-04-2024,C1086
Noah,King,noah.king72@hotmail.com,28-09-2025,C1087
Zoe,Mehta,zoe.mehta31@yahoo.com,01-07-2024,C1088
Mason,Kumar,mason.kumar23@outlook.com,26-02-2025,C1089
Jack,Young,jack.young32@outlook.com,13-06-2024,C1090
Michael,Iyer,michael.iyer49@gmail.com,27-04-2025,C1091
Siddharth,Rao,siddharth.rao59@outlook.com,09-11-2024,C1092
Siddharth,Thomas,siddharth.thomas04@yahoo.com,13-02-2025,C1093
Olivia,Chatterjee,olivia.chatterjee09@outlook.com,26-12-2024,C1094
Abigail,Thomas,abigail.thomas52@outlook.com,30-01-2024,C1095
Rohit,Dutta,rohit.dutta23@outlook.com,10-02-2024,C1096
Priya,Thompson,priya.thompson56@outlook.com,18-11-2024,C1097
Sophia,Thompson,sophia.thompson66@gmail.com,30-01-2025,C1098
Henry,Rao,henry.rao33@gmail.com,23-03-2025,C1099
Aarav,Moore,aarav.moore69@yahoo.com,08-01-2025,C1100
